Home,Away,Winner,Margin,Stadium,Date
Bangladesh,Pakistan,Pakistan,7 wickets,Moratuwa,31-Mar-86
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Kandy,02-Apr-86
Bangladesh,India,India,9 wickets,Chattogram,27-Oct-88
Bangladesh,Pakistan,Pakistan,173 runs,Chattogram,29-Oct-88
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,02-Nov-88
Bangladesh,New Zealand,New Zealand,161 runs,Sharjah,28-Apr-90
Australia,Bangladesh,Australia,7 wickets,Sharjah,30-Apr-90
India,Bangladesh,India,9 wickets,Chandigarh,25-Dec-90
Bangladesh,Sri Lanka,Sri Lanka,71 runs,Kolkata,31-Dec-90
Bangladesh,India,India,9 wickets,Sharjah,05-Apr-95
Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,06-Apr-95
Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,08-Apr-95
Bangladesh,Pakistan,Pakistan,109 runs,Colombo (RPS),16-Jul-97
Sri Lanka,Bangladesh,Sri Lanka,103 runs,Colombo (SSC),22-Jul-97
Bangladesh,India,India,9 wickets,Colombo (SSC),24-Jul-97
Kenya,Bangladesh,Kenya,150 runs,Nairobi (Gym),10-Oct-97
Bangladesh,Zimbabwe,Zimbabwe,48 runs,Nairobi (Gym),11-Oct-97
Bangladesh,Zimbabwe,Zimbabwe,192 runs,Nairobi (Aga),14-Oct-97
Kenya,Bangladesh,Kenya,8 wickets,Nairobi (Aga),15-Oct-97
Bangladesh,India,India,4 wickets,Dhaka,10-Jan-98
Bangladesh,Pakistan,Pakistan,9 wickets,Dhaka,12-Jan-98
India,Bangladesh,India,5 wickets,Mohali,14-May-98
Bangladesh,Kenya,Bangladesh,6 wickets,Hyderabad (Deccan),17-May-98
Bangladesh,Kenya,Kenya,28 runs,Chennai,23-May-98
India,Bangladesh,India,5 wickets,Wankhede,25-May-98
Bangladesh,Pakistan,Pakistan,152 runs,Dhaka,16-Mar-99
Bangladesh,Kenya,Kenya,8 wickets,Dhaka,20-Mar-99
Bangladesh,Zimbabwe,Zimbabwe,126 runs,Dhaka,21-Mar-99
Bangladesh,Kenya,Kenya,73 runs,Dhaka,24-Mar-99
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,25-Mar-99
Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,17-May-99
Bangladesh,West Indies,West Indies,7 wickets,Dublin,21-May-99
Scotland,Bangladesh,Bangladesh,22 runs,Edinburgh,24-May-99
Australia,Bangladesh,Australia,7 wickets,Chester-le-Street,27-May-99
Bangladesh,Pakistan,Bangladesh,62 runs,Northampton,31-May-99
Bangladesh,West Indies,West Indies,73 runs,Dhaka,08-Oct-99
Bangladesh,West Indies,West Indies,109 runs,Dhaka,09-Oct-99
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,29-May-00
Bangladesh,India,India,8 wickets,Dhaka,"May 30-31, 2000"
Bangladesh,Pakistan,Pakistan,233 runs,Dhaka,02-Jun-00
Bangladesh,England,England,8 wickets,Nairobi (Gym),05-Oct-00
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,07-Apr-01
Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare,08-Apr-01
Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo,11-Apr-01
Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Chattogram,23-Nov-01
Bangladesh,Zimbabwe,Zimbabwe,42 runs,Dhaka,25-Nov-01
Bangladesh,Zimbabwe,Zimbabwe,7 wickets,Dhaka,26-Nov-01
Bangladesh,Pakistan,Pakistan,49 runs,Chattogram,22-Jan-02
Bangladesh,Pakistan,Pakistan,72 runs,Dhaka,24-Jan-02
Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka,25-Jan-02
Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (SSC),04-Aug-02
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Colombo (SSC),05-Aug-02
Sri Lanka,Bangladesh,Sri Lanka,58 runs,Colombo (RPS),07-Aug-02
Australia,Bangladesh,Australia,9 wickets,Colombo (SSC),19-Sep-02
Bangladesh,New Zealand,New Zealand,167 runs,Colombo (SSC),23-Sep-02
South Africa,Bangladesh,South Africa,168 runs,Potchefstroom,03-Oct-02
South Africa,Bangladesh,South Africa,10 wickets,Benoni,06-Oct-02
South Africa,Bangladesh,South Africa,7 wickets,Kimberley,09-Oct-02
Bangladesh,West Indies,no result,,Chattogram,29-Nov-02
Bangladesh,West Indies,West Indies,84 runs,Dhaka,02-Dec-02
Bangladesh,West Indies,West Indies,86 runs,Dhaka,03-Dec-02
Bangladesh,Canada,Canada,60 runs,Durban,11-Feb-03
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,14-Feb-03
Bangladesh,West Indies,no result,,Benoni,18-Feb-03
South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,22-Feb-03
Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,26-Feb-03
Bangladesh,Kenya,Kenya,32 runs,Johannesburg,01-Mar-03
Bangladesh,India,India,200 runs,Dhaka,11-Apr-03
Bangladesh,South Africa,South Africa,83 runs,Dhaka,14-Apr-03
Bangladesh,India,India,4 wickets,Dhaka,16-Apr-03
Bangladesh,South Africa,South Africa,93 runs,Dhaka,17-Apr-03
Australia,Bangladesh,Australia,8 wickets,Cairns,02-Aug-03
Australia,Bangladesh,Australia,9 wickets,Cairns,03-Aug-03
Australia,Bangladesh,Australia,112 runs,Darwin,06-Aug-03
Pakistan,Bangladesh,Pakistan,137 runs,Multan,09-Sep-03
Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad,12-Sep-03
Pakistan,Bangladesh,Pakistan,42 runs,Lahore,15-Sep-03
Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi,18-Sep-03
Pakistan,Bangladesh,Pakistan,58 runs,Karachi,21-Sep-03
Bangladesh,England,England,7 wickets,Chattogram,07-Nov-03
Bangladesh,England,England,7 wickets,Dhaka,10-Nov-03
Bangladesh,England,England,7 wickets,Dhaka,12-Nov-03
Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,10-Mar-04
Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,12-Mar-04
Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,14-Mar-04
West Indies,Bangladesh,West Indies,1 wicket,Kingstown,15-May-04
West Indies,Bangladesh,West Indies,23 runs,Kingstown,16-May-04
West Indies,Bangladesh,West Indies,7 wickets,St George's,19-May-04
Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),16-Jul-04
Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),17-Jul-04
Bangladesh,India,India,8 wickets,Colombo (SSC),21-Jul-04
Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),23-Jul-04
Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),29-Jul-04
Bangladesh,South Africa,South Africa,9 wickets,Birmingham,12-Sep-04
Bangladesh,West Indies,West Indies,138 runs,Southampton,15-Sep-04
Bangladesh,New Zealand,New Zealand,138 runs,Chattogram,02-Nov-04
Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka,05-Nov-04
Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,07-Nov-04
Bangladesh,India,India,11 runs,Chattogram,23-Dec-04
Bangladesh,India,Bangladesh,15 runs,Dhaka,26-Dec-04
Bangladesh,India,India,91 runs,Dhaka,27-Dec-04
Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,20-Jan-05
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chattogram,24-Jan-05
Bangladesh,Zimbabwe,Bangladesh,40 runs,Chattogram,26-Jan-05
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,29-Jan-05
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,31-Jan-05
England,Bangladesh,England,10 wickets,The Oval,16-Jun-05
Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,18-Jun-05
England,Bangladesh,England,168 runs,Nottingham,21-Jun-05
Australia,Bangladesh,Australia,10 wickets,Manchester,25-Jun-05
England,Bangladesh,England,5 wickets,Leeds,26-Jun-05
Australia,Bangladesh,Australia,6 wickets,Canterbury,30-Jun-05
Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),31-Aug-05
Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),02-Sep-05
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),04-Sep-05
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,20-Feb-06
Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,22-Feb-06
Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chattogram,25-Feb-06
Bangladesh,Kenya,Bangladesh,131 runs,Bogra,17-Mar-06
Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,20-Mar-06
Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,23-Mar-06
Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,25-Mar-06
Bangladesh,Australia,Australia,4 wickets,Chattogram,23-Apr-06
Bangladesh,Australia,Australia,67 runs,Fatullah,26-Apr-06
Bangladesh,Australia,Australia,9 wickets,Fatullah,28-Apr-06
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,29-Jul-06
Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,30-Jul-06
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,02-Aug-06
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,04-Aug-06
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,06-Aug-06
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),12-Aug-06
Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),13-Aug-06
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),15-Aug-06
Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali,07-Oct-06
Bangladesh,West Indies,West Indies,10 wickets,Jaipur,11-Oct-06
Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur,13-Oct-06
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna,30-Nov-06
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra,03-Dec-06
Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra,05-Dec-06
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,08-Dec-06
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,09-Dec-06
Bangladesh,Scotland,Bangladesh,6 wickets,Chattogram,15-Dec-06
Bangladesh,Scotland,Bangladesh,146 runs,Mirpur,17-Dec-06
Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,04-Feb-07
Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,06-Feb-07
Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,09-Feb-07
Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,10-Feb-07
Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,25-Feb-07
Bangladesh,Canada,Bangladesh,13 runs,St John's,28-Feb-07
Bangladesh,India,Bangladesh,5 wickets,Port of Spain,17-Mar-07
Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,21-Mar-07
Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,25-Mar-07
Australia,Bangladesh,Australia,10 wickets,North Sound,31-Mar-07
Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,02-Apr-07
Bangladesh,South Africa,Bangladesh,67 runs,Providence,07-Apr-07
Bangladesh,England,England,4 wickets,Bridgetown,11-Apr-07
Bangladesh,Ireland,Ireland,74 runs,Bridgetown,15-Apr-07
West Indies,Bangladesh,West Indies,99 runs,Bridgetown,19-Apr-07
Bangladesh,India,India,5 wickets,Mirpur,10-May-07
Bangladesh,India,India,46 runs,Mirpur,12-May-07
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),20-Jul-07
Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),23-Jul-07
Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),25-Jul-07
New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,26-Dec-07
New Zealand,Bangladesh,New Zealand,102 runs,Napier,28-Dec-07
New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,31-Dec-07
Bangladesh,South Africa,South Africa,9 wickets,Chattogram,09-Mar-08
Bangladesh,South Africa,South Africa,7 wickets,Mirpur,12-Mar-08
Bangladesh,South Africa,South Africa,7 wickets,Mirpur,14-Mar-08
Bangladesh,Ireland,Bangladesh,8 wickets,Mirpur,18-Mar-08
Bangladesh,Ireland,Bangladesh,84 runs,Mirpur,20-Mar-08
Bangladesh,Ireland,Bangladesh,79 runs,Mirpur,22-Mar-08
Pakistan,Bangladesh,Pakistan,152 runs,Lahore,08-Apr-08
Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,11-Apr-08
Pakistan,Bangladesh,Pakistan,23 runs,Lahore,13-Apr-08
Pakistan,Bangladesh,Pakistan,7 wickets,Multan,16-Apr-08
Pakistan,Bangladesh,Pakistan,150 runs,Karachi,19-Apr-08
Bangladesh,Pakistan,Pakistan,70 runs,Mirpur,08-Jun-08
Bangladesh,India,India,7 wickets,Mirpur,12-Jun-08
Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,24-Jun-08
Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,25-Jun-08
Bangladesh,India,India,7 wickets,Karachi,28-Jun-08
Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi,30-Jun-08
Pakistan,Bangladesh,Pakistan,10 wickets,Karachi,04-Jul-08
Australia,Bangladesh,Australia,180 runs,Darwin,30-Aug-08
Australia,Bangladesh,Australia,8 wickets,Darwin,03-Sep-08
Australia,Bangladesh,Australia,73 runs,Darwin,06-Sep-08
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,09-Oct-08
Bangladesh,New Zealand,New Zealand,75 runs,Mirpur,11-Oct-08
Bangladesh,New Zealand,New Zealand,79 runs,Chattogram,14-Oct-08
South Africa,Bangladesh,South Africa,61 runs,Potchefstroom,07-Nov-08
South Africa,Bangladesh,South Africa,128 runs,Benoni,09-Nov-08
Bangladesh,Zimbabwe,Zimbabwe,38 runs,Mirpur,10-Jan-09
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Mirpur,14-Jan-09
